time (s)	magX	magY	magZ
11218.721021	-3.719462	-150.170670	-16.549389
11218.724346	-3.135009	-148.884857	-16.198715
11218.727670	-3.076563	-149.118637	-15.322037
11218.731011	-3.076563	-148.241974	-15.146698
11218.734340	-3.953244	-147.832855	-14.796028
11218.737676	-3.485681	-147.599075	-15.322037
11218.741002	-2.433665	-147.365295	-13.977795
11218.744337	-3.544126	-146.722397	-13.802456
11218.747701	-3.310345	-146.547043	-13.802456
11218.751002	-3.661017	-145.611923	-13.276447
11218.754342	-4.070134	-146.021057	-12.691994
11218.757672	-3.602571	-145.378143	-12.750439
11218.761004	-3.427236	-145.027481	-13.627121
11218.764341	-3.485681	-144.267685	-13.101109
11218.767670	-4.420806	-143.975449	-12.633549
11218.771002	-3.427236	-143.975449	-12.867329
11218.774335	-3.661017	-144.326126	-12.516655
11218.777668	-3.602571	-144.209229	-11.639977
11218.782293	-3.661017	-144.267685	-12.458210
11218.785182	-4.829924	-143.683243	-12.049095
11218.788524	-4.946815	-144.033905	-12.808884
11218.791878	-4.537697	-143.566345	-12.399765
11218.795196	-4.654588	-143.683243	-12.341320
11218.798135	-4.128580	-143.683243	-12.282875
11218.801453	-4.420806	-143.683243	-12.808884
11218.804808	-4.362361	-143.683243	-12.341320
11218.808125	-5.180596	-144.676804	-12.750439
11218.810995	-4.771479	-144.384583	-13.451786
11218.814334	-5.122151	-144.793701	-13.334896
11218.817668	-4.596143	-144.618362	-13.276447
11218.821001	-4.537697	-145.202805	-13.744011
11218.824329	-4.420806	-145.670364	-14.562248
11218.827666	-5.122151	-146.254837	-13.627121
11218.830998	-5.297487	-146.488617	-14.094685
11218.834353	-5.239041	-146.547043	-13.977795
11218.837664	-5.239041	-147.774399	-14.737583
11218.840993	-4.596143	-147.423737	-15.380482
11218.844334	-5.823495	-147.891296	-14.679138
11218.847661	-5.239041	-149.001755	-15.731152
11218.850995	-4.654588	-149.995331	-16.607834
11218.854329	-5.239041	-150.170670	-16.841614
11218.857698	-5.648159	-151.164246	-16.198715
