time (s)	det(V)
5395.009285	0.009017	
5395.010830	0.007684	
5395.012516	0.009879	
5395.014073	0.010834	
5395.015755	0.006665	
5395.017333	0.008075	
5395.018965	0.008945	
5395.020563	0.007023	
5395.022174	0.007378	
5395.023782	0.008292	
5395.025389	0.012836	
5395.027032	0.009126	
5395.028632	0.011438	
5395.030270	0.011035	
5395.031846	0.011205	
5395.033546	0.006391	
5395.035109	0.010625	
5395.036823	0.008578	
5395.038360	0.009243	
5395.040070	0.008324	
5395.041613	0.016232	
5395.043340	0.010975	
5395.044856	0.012691	
5395.046605	0.013227	
5395.048084	0.016055	
5395.049856	0.008461	
5395.051343	0.014629	
5395.053132	0.013726	
5395.054606	0.010891	
5395.056367	0.006173	
5395.057853	0.019511	
5395.059615	0.013324	
5395.061107	0.012840	
5395.062853	0.013340	
5395.064370	0.017586	
5395.066091	0.006560	
5395.067622	0.012264	
5395.069319	0.014323	
5395.070860	0.011761	
5395.072576	0.012478	
5395.074160	0.015241	
5395.075644	0.015281	
5395.077305	0.013819	
5395.078804	0.016583	
5395.080440	0.017078	
5395.081935	0.016667	
5395.083573	0.014730	
5395.085063	0.017259	
5395.086687	0.016659	
5395.088183	0.017134	
5395.089889	0.011769	
5395.091374	0.022734	
5395.093067	0.015938	
5395.094550	0.016550	
5395.096236	0.016905	
5395.097731	0.019112	
5395.099378	0.011463	
5395.100902	0.014540	
5395.102520	0.017880	
5395.104091	0.015060	
5395.105766	0.015140	
5395.107354	0.017920	
5395.109016	0.019596	
5395.110609	0.017082	
5395.112253	0.016921	
5395.113850	0.019028	
5395.115482	0.017759	
5395.117097	0.017775	
5395.118696	0.019668	
5395.120364	0.017698	
5395.121938	0.018444	
5395.123608	0.015245	
5395.125175	0.022069	
5395.126833	0.016570	
5395.128392	0.017940	
5395.130093	0.019817	
5395.131646	0.020724	
5395.133362	0.013875	
5395.134899	0.019568	
5395.136626	0.016675	
5395.138124	0.017368	
5395.139862	0.014214	
5395.141353	0.022331	
5395.143110	0.016615	
5395.144596	0.017449	
5395.146365	0.018178	
5395.147847	0.022267	
5395.149609	0.014109	
5395.151102	0.018137	
5395.152830	0.015712	
5395.154340	0.013626	
5395.156051	0.010617	
5395.157590	0.019165	
5395.159317	0.016147	
5395.160855	0.014101	
5395.162531	0.014879	
5395.164083	0.014443	
5395.165746	0.010044	
5395.167323	0.010749	
5395.168974	0.011475	
5395.170565	0.009166	
5395.172183	0.007986	
5395.173801	0.009803	
5395.175322	0.012123	
5395.176953	0.007926	
5395.178433	0.007583	
5395.180070	0.007249	
5395.181562	0.009992	
5395.183183	-0.002222	
5395.184665	0.001404	
5395.186262	0.000816	
5395.187779	-0.001843	
5395.189427	-0.007608	
5395.190959	0.002282	
5395.192579	-0.004566	
5395.194130	-0.007551	
5395.195724	-0.007632	
5395.197311	-0.010327	
5395.198876	-0.014911	
5395.200486	-0.018029	
5395.202110	-0.018867	
5395.203741	-0.023677	
5395.205347	-0.024796	
5395.207018	-0.027955	
5395.208596	-0.027544	
5395.210271	-0.036664	
5395.211856	-0.037204	
5395.213525	-0.040060	
5395.215088	-0.044463	
5395.216775	-0.056403	
5395.218316	-0.055585	
5395.220028	-0.062751	
5395.221568	-0.069269	
5395.223287	-0.078240	
5395.224777	-0.073160	
5395.226545	-0.086204	
5395.228034	-0.092375	
5395.229812	-0.100585	
5395.231297	-0.104243	
5395.233085	-0.124812	
5395.234566	-0.127490	
5395.236340	-0.138343	
5395.237826	-0.149163	
5395.239577	-0.163818	
5395.241075	-0.161030	
5395.242824	-0.181985	
5395.244344	-0.194715	
5395.246094	-0.207344	
5395.247614	-0.218526	
5395.249340	-0.241165	
5395.250869	-0.253186	
5395.252573	-0.270576	
5395.254115	-0.288651	
5395.255782	-0.308056	
5395.257360	-0.324612	
5395.259009	-0.344863	
5395.260605	-0.367328	
5395.262263	-0.389726	
5395.263858	-0.407189	
5395.265481	-0.431745	
5395.267086	-0.459645	
5395.268705	-0.484931	
5395.270382	-0.516477	
5395.271966	-0.546105	
5395.273634	-0.578703	
5395.275110	-0.601446	
5395.276683	-0.638132	
5395.278174	-0.669956	
5395.279805	-0.705377	
5395.281290	-0.735162	
5395.282891	-0.787688	
5395.284414	-0.817771	
5395.285971	-0.857152	
5395.287519	-0.898736	
5395.289020	-0.940643	
5395.290646	-0.982497	
5395.292216	-1.024529	
5395.293831	-1.072369	
5395.295357	-1.118683	
5395.297024	-1.165379	
5395.298506	-1.209973	
5395.300211	-1.260878	
5395.301689	-1.304420	
5395.303426	-1.357119	
5395.304902	-1.402909	
5395.306619	-1.455837	
5395.308124	-1.492833	
5395.309887	-1.547852	
5395.311369	-1.591052	
5395.313143	-1.617852	
5395.314632	-1.619371	
5395.316393	-1.619480	
5395.317879	-1.619443	
5395.319670	-1.619480	
5395.321150	-1.619399	
5395.322915	-1.619403	
5395.324409	-1.619536	
5395.326155	-1.619463	
5395.327665	-1.619496	
5395.329397	-1.619415	
5395.330924	-1.619435	
5395.332650	-1.619411	
5395.334190	-1.619492	
5395.335897	-1.619439	
5395.337450	-1.619592	
5395.339147	-1.619451	
5395.340722	-1.619439	
5395.342407	-1.619520	
5395.343993	-1.619544	
5395.345654	-1.619282	
5395.347252	-1.619387	
5395.348901	-1.619326	
5395.350492	-1.619508	
5395.352132	-1.619383	
5395.353728	-1.619488	
5395.355342	-1.619306	
5395.357009	-1.619512	
5395.358590	-1.619463	
5395.360272	-1.617542	
5395.361868	-1.565681	
5395.363537	-1.502340	
5395.365124	-1.444195	
5395.366813	-1.385225	
5395.368370	-1.319301	
5395.370075	-1.251525	
5395.371620	-1.192345	
5395.373337	-1.123565	
5395.374874	-1.045424	
5395.376593	-0.976322	
5395.378088	-0.907575	
5395.379872	-0.827766	
5395.381363	-0.754567	
5395.383143	-0.687983	
5395.384626	-0.612834	
5395.386138	-0.542291	
5395.387685	-0.472697	
5395.389252	-0.405767	
5395.390812	-0.331186	
5395.392307	-0.260876	
5395.393971	-0.187714	
5395.395461	-0.115550	
5395.397086	-0.040402	
5395.398606	0.034964	
5395.400231	0.103618	
5395.401702	0.179246	
5395.403450	0.256038	
5395.404921	0.325289	
5395.406640	0.401561	
5395.408123	0.474603	
5395.409818	0.544280	
5395.411297	0.614599	
5395.413013	0.690150	
5395.414499	0.765351	
5395.416261	0.829187	
5395.417749	0.902660	
5395.419513	0.978461	
5395.421013	1.043623	
5395.422739	1.112390	
5395.424262	1.187672	
5395.425977	1.248914	
5395.427514	1.305206	
5395.429239	1.374183	
5395.430793	1.435293	
5395.432487	1.489679	
5395.434053	1.545777	
